Timestamp,State,Title,Classification
1869-11-10 12:00:00+00:00,California,Report 14338: Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the Diablo (Devil) Mountains,Class A
1921-01-14 12:00:00+00:00,Pennsylvania,Report 14358: Old newspaper article (Clearfield Progress - Pennsylvania) sightings by farmers in Clearfield County,Class A
1925-10-14 12:00:00+00:00,Louisiana,Report 24413: Woman recounts a tale her Grandfather told her about a frightening incident near Horseshoe Lake,Class B
1930-09-30 12:00:00+00:00,Texas,Report 2477: Nine foot tall brown/black creature seen carrying a calf.,Class B
1937-08-16 12:00:00+00:00,Indiana,Report 14336: Old newspaper article (The Hammond Times) mentioning sightings near Boonville,Class A
1938-06-30 12:00:00+00:00,Texas,Report 2395: Sighting at night by a group of coon hunters; Screams were also heard in the area,Class B
1941-10-15 12:00:00+00:00,Washington,Report 1689: A tall black creature covered with hair and very muscular was seen walking quickly across a clearing,Class A
1942-04-01 12:00:00+00:00,Oklahoma,Report 1303: Sisters observe tall hairy creature running away from them,Class B
1944-07-01 12:00:00+00:00,Michigan,Report 28897: Memory told of a possible daylight sighting while playing in the woods in Eben Junction,Class B
1944-08-01 12:00:00+00:00,California,Report 2896: Sister and brother see 3 creatures near Yreka,Class A
1947-07-01 12:00:00+00:00,Florida,"Report 4795: While riding horse, young teen has day time sighting not far from Palatka",Class A
1948-05-15 12:00:00+00:00,Washington,Report 1723: Mt. Olympus Incident,Class A
1949-08-15 12:00:00+00:00,Oregon,"Report 8745: One audible and two visual, early evening encounters by a coastal witness near the North Fork of the Coquille River",Class A
1949-09-15 12:00:00+00:00,Washington,Report 33793: Memory told of hearing possible daytime knocking while working as a Fire Guard in the Pasayten Wilderness,Class B
1950-01-01 12:00:00+00:00,Mississippi,Report 1339: Creature seen by witnesses,Class A
1950-05-01 12:00:00+00:00,Washington,Report 1043: Mother relates story of daughter sighting a large animal near Mill A School,Class B
1950-07-01 12:00:00+00:00,Kentucky,Report 5678: Woman recalls childhood sighting near Warfield,Class A
1952-07-01 12:00:00+00:00,Washington,"Report 4353: Young man encounters two large, upright animals near the Columbia River, west of Longview",Class A
1953-08-01 12:00:00+00:00,Connecticut,Report 16408: Children observe bipedal animal walking along railroad tracks near the Housatonic River,Class A
1953-10-01 12:00:00+00:00,Kentucky,Report 1024: An account of bigfoot tool use,Class A
1954-06-30 12:00:00+00:00,Missouri,Report 1115: Hair raising screams heard in the forest behind a four acre rye field.,Class B
1955-01-01 12:00:00+00:00,Tennessee,Report 24547: Witness describes childhood experiences as well as some recent Class B incidents near Ethridge,Class B
1955-01-01 12:00:00+00:00,Florida,Report 13034: Early evening sighting by residents on the Hillsborough River,Class A
1955-08-01 12:00:00+00:00,California,Report 1229: Boy Scout has late night sighting above Porterville,Class A
1956-01-01 12:00:00+00:00,Ohio,"Report 4982: Personal encounter of a camper as well as a history of encounters concerning his family members, dating back 40 years.",Class B
1956-07-15 12:00:00+00:00,Oregon,Report 12021: Boy encounters animal near Lemolo Lake,Class A
1956-10-01 12:00:00+00:00,California,Report 4946: Teenager has daytime sighting near Truckee,Class A
1956-10-15 12:00:00+00:00,Missouri,Report 1158: Child encounters a man-like creature in a shed.,Class A
1957-06-01 12:00:00+00:00,California,Report 528: Three children have daytime sighting near Eureka,Class A
1957-07-01 12:00:00+00:00,Virginia,Report 679: Marine had late night sighting on military base in Quantico,Class A
1957-07-15 12:00:00+00:00,Georgia,Report 27888: Man recalls close encounter at dusk as a youth near Macon,Class A
1957-09-18 12:00:00+00:00,Nebraska,"Report 25012: Woman recalls an encounter as a child, in an alley in the town of Valentine",Class A
1958-01-15 12:00:00+00:00,Ohio,"Report 8086: A series of large, human-like footprints are found on a farm near Wayne National Forest",Class B
1958-04-15 12:00:00+00:00,California,Report 16691: Man describes possible sighting during childhood in Hinkley Basin,Class B
1958-05-14 12:00:00+00:00,Washington,"Report 1670: Large footprint find, large creature witnessed by a school bus driver",Class A
1958-11-01 12:00:00+00:00,Ohio,Report 7425: A Teenager and His Dog Encounter an Ape-like Creature While Retrieving Their Trap Lines,Class A
1958-12-31 12:00:00+00:00,Kentucky,Report 2364: Two teenage boys encounter a white ape-like animal,Class A
1959-10-01 12:00:00+00:00,California,Report 7211: Hunters Have Unusual Night Time Encounter,Class B
1960-01-01 12:00:00+00:00,Kansas,Report 1330: Motorist's sighting results in a collision.,Class A
1960-07-18 12:00:00+00:00,Washington,Report 1495: Man and wife in car see a sasquatch eating frogs on the road,Class A
1960-08-15 12:00:00+00:00,Tennessee,Report 15610: Children see creature emerging from abandoned barn near Caruthersville.,Class A
1960-10-31 12:00:00+00:00,Michigan,Report 29549: Memory told of a possible daylight sighting while driving deer on a farm east of Iron River,Class B
1960-11-04 12:00:00+00:00,Georgia,Report 30135: Man recalls encounter with 7 foot tall creature on grandparents farm,Class A
1960-11-15 12:00:00+00:00,West Virginia,"Report 3582: Hunters hear vocalization in a hollow off Route 2, near Lesage",Class B
1961-03-18 12:00:00+00:00,Florida,Report 28678: Man recalls a possible up-close nighttime encounter on Gilchrist Island,Class B
1961-04-01 12:00:00+00:00,California,Report 5232: Hunters have unusual late night experience near Willow Creek,Class B
1961-06-15 12:00:00+00:00,West Virginia,Report 38547: Medical doctor recalls his daylight sighting as a teenager near Huntington,Class A
1961-07-01 12:00:00+00:00,Pennsylvania,"Report 12951: Possible encounter between a juvenile and a human child, near Gettysburg",Class A
1961-09-01 12:00:00+00:00,Georgia,Report 6097: Man describes childhood sighting at rural property on the outskirts of Atlanta,Class A
1961-10-15 12:00:00+00:00,Arkansas,Report 7234: Daylight sighting by two sisters near their farm in the early 1960s,Class A
1961-10-15 12:00:00+00:00,Missouri,Report 26962: Childhood face to face encounter at dusk in the river bottoms of Bootheel,Class A
1961-11-11 12:00:00+00:00,Texas,"Report 23531: Woman tells of her husband's close encounter as a young man with ""The Hermit""  near Huntsville",Class B
1961-12-28 12:00:00+00:00,Washington,Report 1691: Tracks found in deep snow,Class B
1962-04-01 12:00:00+00:00,Michigan,Report 24238: Man recalls multi-witness sighting in teen years near Manistique,Class A
1962-05-01 12:00:00+00:00,Utah,Report 9962: Daylight sighting off Highway 89 in the Wasatch Mountains.,Class A
1962-06-06 12:00:00+00:00,Ohio,"Report 3651: Sighting in the Audubon wildlife preserve, outside Aurora",Class A
1962-08-14 12:00:00+00:00,California,"Report 25009: Youngsters encounter large, grey creature in a sugar beet field",Class A
1962-08-15 12:00:00+00:00,Florida,Report 445: Boy Scouts have sighting while camping at Quednau Ranch,Class A
1962-11-15 12:00:00+00:00,Michigan,Report 30089: Memory told of a possible encounter while deer hunting east of Manistee,Class B
1963-01-27 12:00:00+00:00,California,Report 2309: 10-Ft. Shrieking Monster reported near Cold Springs,Class B
1963-01-28 12:00:00+00:00,California,Report 2310: Large prints found below Cold Springs,Class B
1963-06-15 12:00:00+00:00,Idaho,Report 5720: Night time rabbit hunters spotlight 7' tall biped leaping over 4' sagebrush as it escapes from view,Class A
1963-07-01 12:00:00+00:00,Ohio,Report 7026: Three teenage boys witness an ape-like creature lope across a field into the woods,Class A
1963-07-04 12:00:00+00:00,Georgia,Report 8405: Early evening road crossing sighting by motorist on Jekyll Island,Class A
1963-07-15 12:00:00+00:00,Oregon,Report 7785: Family in small boat hears animal retreating and finds prints,Class B
1963-08-01 12:00:00+00:00,California,Report 6961: Teen has daytime sighting near Myers Flat,Class A
1963-09-15 12:00:00+00:00,Florida,Report 41995: Memory told of a close encounter with a man-ape outside Gainesville,Class A
1963-10-01 12:00:00+00:00,Pennsylvania,Report 9546: Teens chased by upright running animal near Bradford,Class A
1963-12-01 12:00:00+00:00,California,Report 1953: Deputy Sheriff sees strange footprints above Strawberry,Class B
1964-04-15 12:00:00+00:00,Texas,"Report 4141: Witness spots a large, dark, hairy creature standing 50 yards away",Class A
1964-06-30 12:00:00+00:00,Texas,Report 2396: Tall creature seen by witness,Class B
1964-08-01 12:00:00+00:00,Colorado,Report 15273: Young picnicker sees strange creature on rocky ledge above the St. Vrain River,Class A
1964-08-01 12:00:00+00:00,Utah,Report 28095: Man recalls possible encounter at a family cabin in Big Cottonwood Canyon outside Salt Lake City,Class B
1964-08-30 12:00:00+00:00,Colorado,"Report 2553: Bowhunter and wife abandon deer when threatened by large, unseen animal",Class B
1964-10-10 12:00:00+00:00,South Carolina,Report 5381: Solider describes late night encounter on Fort Jackson,Class B
1964-11-01 12:00:00+00:00,California,Report 6962: Friends hear late night scream near Garberville,Class B
1964-11-07 12:00:00+00:00,Illinois,Report 30367: Memories told of encounters experienced by a family living near Villa Grove,Class A
1965-06-15 12:00:00+00:00,Georgia,Report 4236: Man recalls a possible encounter as a teen at Fort Gordon,Class B
1965-07-01 12:00:00+00:00,Michigan,Report 20002: Afternoon highway crossing near Felch,Class A
1965-07-01 12:00:00+00:00,California,Report 6963: Teens have unusual experience near Myers Flat,Class A
1965-07-01 12:00:00+00:00,California,Report 9202: Man remembers childhood daytime sighting along the Feather River,Class A
1965-07-15 12:00:00+00:00,Michigan,Report 5652: Apelike creature seen by children on a sand dune near Caseville,Class A
1965-07-30 12:00:00+00:00,Washington,Report 3150: Three witnesses throwing rocks in lake see a Bigfoot peeking at them,Class A
1965-10-01 12:00:00+00:00,North Carolina,Report 1939: Youth's presence startles unknown animal,Class A
1965-10-02 12:00:00+00:00,Illinois,Report 40475: Memory told of strange occurrences while growing up near Castle Rock State Park,Class B
1966-01-15 12:00:00+00:00,New York,Report 22561: Man recalls childhood observation - large tracks with long stride in snow - near Mayfield,Class B
1966-04-15 12:00:00+00:00,Tennessee,Report 25440: Man recalls multiple witness encounter near Hendersonville,Class A
1966-05-01 12:00:00+00:00,Washington,Report 13816: Possible encounter with soldier training training in the Olympic National Forest,Class B
1966-08-15 12:00:00+00:00,Oklahoma,Report 34555: Woman recalls her nighttime face to face encounter at her window outside Tulsa,Class A
1966-09-01 12:00:00+00:00,California,Report 8059: Teenagers have sighting of two creatures near Albion,Class A
1966-09-01 12:00:00+00:00,California,Report 1473: Family has early evening sighting near Weed,Class A
1967-01-15 12:00:00+00:00,Virginia,Report 30814: Possible encounters at a home located on a steep hillside near Ransom,Class B
1967-03-10 12:00:00+00:00,California,Report 12294: Daylight sighting near Happy Camp,Class A
1967-03-15 12:00:00+00:00,Washington,"Report 1973: Teen hunter sees a sasquatch at a distance while bird hunting, and found tracks five years before",Class A
1967-05-17 12:00:00+00:00,Michigan,Report 29409: Woman remembers childhood sighting near Rogers City,Class A
1967-07-01 12:00:00+00:00,Ohio,"Report 7830: Two teenagers witness something running from a pack of dogs on two legs, screaming very loud. The next day large five toed tracks are found",Class B
1967-07-15 12:00:00+00:00,Washington,Report 9868: Youths in Summer Camp have noisy nighttime experience,Class B
1967-07-29 12:00:00+00:00,Idaho,Report 1801: Close daylight sighting of animal crossing road near Spirit Lake,Class A
1967-07-30 12:00:00+00:00,Missouri,Report 24404: Woman recalls a very close encounter as a child on a farm near the Mark Twain National Forest,Class A
1967-08-15 12:00:00+00:00,Illinois,Report 46494: Memory told of a daytime sighting in Schiller Woods,Class A
1967-08-16 12:00:00+00:00,Washington,"Report 1596: Two men witness three large individuals, two very large and the other about two-thirds their size",Class A
1967-08-18 12:00:00+00:00,Washington,"Report 1564: ""Brinson Monster""",Class B
1967-09-14 12:00:00+00:00,Pennsylvania,Report 23956: Man recounts boyhood sighting at Fairfield Summer Camp near Ligonier,Class A
1967-10-18 12:00:00+00:00,Washington,Report 1644: Witness saw something he felt confident few men had ever seen,Class A
1968-05-04 12:00:00+00:00,Illinois,"Report 42730: Childhood memory told of seeing an upright, white animal while playing in a creek near Brussels",Class B
1968-08-01 12:00:00+00:00,Ohio,Report 4953: Family has sighting on farm along Headleys Mill Road,Class A
1968-08-15 12:00:00+00:00,Illinois,Report 3467: Witnesses describe 'huge' black creature that throws dirt at them near Chittyville.,Class C
